Teff,logg,logZ,CtoO,logKzz,F115W,F150W,F277W,F444W
500,3.5,+1.0,0.85,10,-28.510596398249,-27.28321046338766,-27.223620916196154,-29.098918782585066
500,4.0,-2.5,0.1,-1,-24.824270507062426,-26.78278725968368,-27.005310539330555,-30.806509646171047
500,4.0,-2.5,0.1,2,-24.83431644526143,-26.787984475783855,-27.00836128578336,-30.805825235655135
500,4.0,-2.5,0.1,10,-24.853897279767082,-26.753928735059986,-26.993509284332614,-30.809041579484898
500,4.0,-2.5,0.55,-1,-25.032764969719068,-26.985996882863375,-27.137713114372723,-30.858814295707447
500,4.0,-2.5,0.55,2,-25.0836351810999,-27.029651982450385,-27.139861045372978,-30.85975598117871
500,4.0,-2.5,0.55,10,-25.075503117540848,-26.957163478994545,-27.12036079627627,-30.863993121756078
500,4.0,-2.5,0.85,-1,-25.04801360503947,-27.066178969753203,-27.159682267732116,-30.862202931125886
500,4.0,-2.5,0.85,2,-25.026060449598226,-27.054744327884332,-27.164238429516388,-30.862623997514135
500,4.0,-2.5,0.85,10,-25.070196348749857,-27.021668410958775,-27.152929262613675,-30.870133674749596
500,4.0,-2.0,0.1,-1,-25.487587096106743,-26.67743032024742,-26.81002169861546,-30.915554319893168
500,4.0,-2.0,0.1,2,-25.473273686869167,-26.683288871843082,-26.816008210800618,-30.918350270644346
500,4.0,-2.0,0.1,10,-25.5066688861956,-26.670599976038837,-26.79920376514211,-30.91865893113141
500,4.0,-2.0,0.55,-1,-25.646753661487875,-26.922077627508905,-26.992634527870408,-30.973062497766556
500,4.0,-2.0,0.55,2,-25.71363631583972,-26.950383555668825,-26.987497310666136,-30.969797626644926
500,4.0,-2.0,0.55,10,-25.71498185647166,-26.899386356457562,-26.981026437679233,-30.973817233543546
500,4.0,-2.0,0.85,-1,-25.747279840324026,-26.98060922869964,-27.03796674387618,-30.973357544821983
500,4.0,-2.0,0.85,2,-25.706223490880124,-26.969600993046523,-27.042461178238764,-30.97431730351036
500,4.0,-2.0,0.85,10,-25.721792947904927,-26.928550659392826,-27.040856615203225,-30.977923690268444
500,4.0,-1.5,0.1,-1,-26.325845370502684,-26.671946510041217,-26.406249611390678,-30.987554396896364
500,4.0,-1.5,0.1,2,-26.29167127163193,-26.687001147794255,-26.447508355938236,-30.985039148760034
